"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","required_fields (product.metafields.custom.required_fields)","Google: Custom Product (product.metafields.mm-google-shopping.custom_product)","Color (product.metafields.shopify.color-pattern)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"custom-photo-party-sash-birthday-wedding","Custom Photo Party Sash - Birthday, Bachelorette, Wedding","Custom photo &amp; text party sash for birthdays, bachelorette parties, weddings, and more!
Turn your favorite picture and words into a keepsake birthday sash, bachelorette sash, or wedding party sash that actually feels special.

✨ What You'll Get
1 custom sash with your photo + personalized text
Perfect for:
Birthdays (21st, 30th, 40th, 50th, 60th &amp; beyond)
Bachelorette parties &amp; bridal showers
Bride-to-be / Future Mrs.
Graduations, retirements, work parties, themed events
Your sash arrives already connected (no awkward safety pins!), ready to wear straight out of the package.

🧵 Details
Material: Smooth satin-style ribbon (soft and comfortable to wear)
Width: Approx. 3 inch wide
Length: Sized to fit most adults comfortably (sash is sewn/secured in place)
Design: Your photo + custom wording printed directly onto the sash
Colors &amp; fonts: I'll match the design style to your event (bold, elegant, fun, or spooky – just tell me your vibe)
If you have very specific colors or fonts, mention them in the personalization box and I'll do my best to match.

🖼 How to Personalize
Choose your quantity and add the sash to your cart.
In the personalization box, include:
The text you want (name, age, event, phrase, etc.)
Your event type (birthday / bachelorette / wedding / other)
Any style notes (girly, minimal, glam, spooky, goth, etc.)
After checkout, send me your photo via Etsy Messages:
Clear, high-resolution image (no screenshots if possible)
Good lighting works best
Let me know if you want it cropped a certain way
I'll design your sash using your image and wording and print it to order just for you.

🕒 Processing &amp; Shipping
Each sash is made to order.
Processing time: see the current estimate in the listing.
If you need it by a specific date, message me before ordering so I can confirm timing.

🦇 Love Goth, Witchy, or Spooky Themes?
I also specialize in goth, witchy, and Halloween-inspired designs.
Ask for:
Black or dark-colored sash
Witchy fonts and motifs (moons, bats, stars, coffins, etc.)
Phrases like ""Birthday Witch,"" ""Goth Bride,"" ""Til Death Bachelorette,"" and more
Leave your spooky ideas in the personalization box and I'll create a sash that matches your dark celebration.","Midnight Muse Made","Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors","Party Supplies","30th_birthday_sash, bachelorette_sash, birthday_queen_sash, bridal_shower_sash, custom_party_sash, custom_photo_sash, finally_21_sash, goth_bridal_sash, halloween_bride_sash, personalized_bride, personalized_sash, spooky_party_sash, wedding_party_sash","true","Design","Future Mrs.","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/86f10bef-il_fullxfull.6770236500_exa3_087ae8e8-767d-4e70-942e-5df8269e1947.jpg?v=1768963507","1","Custom photo party sash with Future Mrs text, white satin ribbon for bachelorette","false","Custom Photo Party Sash | Birthday, Bachelorette & Wedding","Personalized satin party sash with your photo & custom text. Perfect for birthdays, bachelorettes & weddings. Goth options available. Order now!","5709","","","","","","","","","","","What should your sash say?","","white","","lb","","","active"
"custom-photo-party-sash-birthday-wedding","","","","","Party Supplies","","","","Finally 21","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/83f6d833-il_fullxfull.6818227527_ddjg_5627fad5-6801-4799-b904-9e44ff4ae58e.jpg?v=1768963508","2","Custom photo party sash with Future Mrs text, white satin ribbon for bachelorette","","Custom Photo Party Sash | Birthday, Bachelorette & Wedding","Personalized satin party sash with your photo & custom text. Perfect for birthdays, bachelorettes & weddings. Goth options available. Order now!","","","","","","","","","","","","","","","","lb","","",""
"custom-photo-party-sash-birthday-wedding","","","","","Party Supplies","","","","30 & Fabulous","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/7cba74e1-il_fullxfull.6770216552_hjjz_f791244b-f9a8-4b21-bf3c-3d796da9b4c2.jpg?v=1768963507","3","Custom photo party sash with Future Mrs text, white satin ribbon for bachelorette","","Custom Photo Party Sash | Birthday, Bachelorette & Wedding","Personalized satin party sash with your photo & custom text. Perfect for birthdays, bachelorettes & weddings. Goth options available. Order now!","","","","","","","","","","","","","","","","lb","","",""
"custom-photo-party-sash-birthday-wedding","","","","","Party Supplies","","","","Birthday Queen","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/fc02305e-il_fullxfull.6818227523_69ny_da86be4a-ab5c-4782-837d-1bd5c8774f0c.jpg?v=1768963507","4","Custom photo party sash with Future Mrs text, white satin ribbon for bachelorette","","Custom Photo Party Sash | Birthday, Bachelorette & Wedding","Personalized satin party sash with your photo & custom text. Perfect for birthdays, bachelorettes & weddings. Goth options available. Order now!","","","","","","","","","","","","","","","","lb","","",""
"custom-photo-party-sash-birthday-wedding","","","","","Party Supplies","","","","CREATE YOUR OWN","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","","","Custom photo party sash with Future Mrs text, white satin ribbon for bachelorette","","Custom Photo Party Sash | Birthday, Bachelorette & Wedding","Personalized satin party sash with your photo & custom text. Perfect for birthdays, bachelorettes & weddings. Goth options available. Order now!","","","","","","","","","","","","","","","","lb","","",""
"custom-frosted-glass-tumbler-witchy-goth","Frosted Glass Tumbler 18oz - Witchy Goth Coffee Cup","Bring a little witchy caffeine magic to your morning ritual. This 18oz glass can tumbler is fully customizable – choose one of my spooky designs (Witch’s Brew, skulls, sarcastic sayings, feminist vibes) or message me with your own idea for a truly one-of-a-kind cup!

☕DETAILS
• 18oz glass can tumbler (approx. 3 inch W x 5.8 inch H)
• Choose frosted or clear glass
• Includes bamboo lid and reusable straw (style may vary slightly)
• Perfect for iced coffee, tea, matcha, energy drinks &amp; more
• Custom witchy / goth / spooky designs created by me
• Made to order just for you in Denver, CO

🎨DESIGN OPTIONS
• Pick from the menu of designs: Witch’s Brew, A Little Weird But Fully Caffeinated, Hands, Never Better, Fueled By, Live Laugh (Sarcastic), Ray of Sarcasm, Women’s Rights, and more
• OR choose “Your Own Image” and I’ll create a custom design just for you
• Customize colors to match your aesthetic – dark, pastel goth, neon, monochrome, etc.
• Great for everyday spooky coffee lovers, goth besties, witches, baristas, and horror fans

❓HOW TO ORDER
• Select your glass type: clear or frosted
• Select your design from the drop-down menu, or choose “Your Own Image”
• In the personalization box, please include:
• Design choice (if not selected in menu)
• Any text you’d like added (name, phrase, date, etc.)
• Color preferences (ink color, accent colors, spooky palette ideas)
• Any specific imagery (skulls, moons, bats, florals, feminist icons, etc.)
• I’ll message you if I need clarification or to send a quick mockup before production

✨CARE
• Hand wash recommended to keep your design looking its best
• Do not scrub directly over the design or soak for long periods
• Not recommended for microwave use
• Treat it like your favorite spell jar – with a little extra care, it will last for many moons

🎁GIFTING &amp; OCCASIONS
• Perfect spooky gift for birthdays, Halloween, housewarmings, witchy friends, or coffee-obsessed goths
• Add a note at checkout if this is a gift – I’m happy to leave out pricing on the packing slip

Brew your coffee, charge your crystals, and sip from a tumbler that’s as weird and wonderful as you are. 🦇🖤","Midnight Muse Made","Home & Garden > Kitchen & Dining > Tableware > Drinkware > Tumblers","Drinkware","alt_aesthetic_cup, Bamboo, clear_glass_can_cup, custom_goth_tumbler, dark_academia_mug, featured, frosted_glass_can, Glass, glassware_drink, goth_glass_tumbler, halloween_glass_cup, occult_drinkware, personalized_tumbler, skull_coffee_glass, spooky_iced_coffee, Straw, witchy_coffee_cup","true","Design","Your Own Image","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/b7842c42-il_fullxfull.7434505878_pxt1_93a9233c-5c6b-4da1-9692-7f32a2c8141e.jpg?v=1768963506","1","Frosted glass tumbler 18oz with witchy goth design, bamboo lid and reusable straw","false","Frosted Glass Tumbler 18oz | Witchy Goth Coffee Cup","Custom 18oz frosted glass tumbler with witchy & goth designs. Includes bamboo lid & straw. Perfect for iced coffee lovers. Handmade in Denver!","674","","","","","","","","","","","","","","","lb","","","active"
"custom-frosted-glass-tumbler-witchy-goth","","","","","Drinkware","","","","A Little Weird","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/b9a48f59-il_fullxfull.7482419039_ms32_e629cfa7-e949-461d-9e7b-17395a01f3a1.jpg?v=1768963506","2","Frosted glass tumbler 18oz with witchy goth design, bamboo lid and reusable straw","","Frosted Glass Tumbler 18oz | Witchy Goth Coffee Cup","Custom 18oz frosted glass tumbler with witchy & goth designs. Includes bamboo lid & straw. Perfect for iced coffee lovers. Handmade in Denver!","","","","","","","","","","","","","","","","lb","","",""
"custom-frosted-glass-tumbler-witchy-goth","","","","","Drinkware","","","","Fueled By","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/ffe02def-il_fullxfull.7482419053_sgv8_70496ce6-81d8-43bc-8b58-5b2ba5041c1e.jpg?v=1768963506","3","Frosted glass tumbler 18oz with witchy goth design, bamboo lid and reusable straw","","Frosted Glass Tumbler 18oz | Witchy Goth Coffee Cup","Custom 18oz frosted glass tumbler with witchy & goth designs. Includes bamboo lid & straw. Perfect for iced coffee lovers. Handmade in Denver!","","","","","","","","","","","","","","","","lb","","",""
"custom-frosted-glass-tumbler-witchy-goth","","","","","Drinkware","","","","Live Laugh","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/783a8aea-il_fullxfull.7482419051_13kf_10f7722e-afd3-4fc2-ac73-80ec320bdfb7.jpg?v=1768963506","4","Frosted glass tumbler 18oz with witchy goth design, bamboo lid and reusable straw","","Frosted Glass Tumbler 18oz | Witchy Goth Coffee Cup","Custom 18oz frosted glass tumbler with witchy & goth designs. Includes bamboo lid & straw. Perfect for iced coffee lovers. Handmade in Denver!","","","","","","","","","","","","","","","","lb","","",""
"custom-frosted-glass-tumbler-witchy-goth","","","","","Drinkware","","","","Ray of Sarcasm","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/ae59725f-il_fullxfull.7434502018_cggi_b5085333-5486-47db-a16a-6c364318a2ee.jpg?v=1768963506","5","Frosted glass tumbler 18oz with witchy goth design, bamboo lid and reusable straw","","Frosted Glass Tumbler 18oz | Witchy Goth Coffee Cup","Custom 18oz frosted glass tumbler with witchy & goth designs. Includes bamboo lid & straw. Perfect for iced coffee lovers. Handmade in Denver!","","","","","","","","","","","","","","","","lb","","",""
"custom-frosted-glass-tumbler-witchy-goth","","","","","Drinkware","","","","Womens Rights","","","","","","","","","0.0","shopify","10","deny","manual","18.00","","true","false","","","","","","","","Frosted glass tumbler 18oz with witchy goth design, bamboo lid and reusable straw","","Frosted Glass Tumbler 18oz | Witchy Goth Coffee Cup","Custom 18oz frosted glass tumbler with witchy & goth designs. Includes bamboo lid & straw. Perfect for iced coffee lovers. Handmade in Denver!","","","","","","","","","","","","","","","","lb","","",""
"custom-ceramic-photo-ornament-keepsake","Custom Ceramic Photo Ornament - Personalized Keepsake","<p>Capture your favorite moments and turn them into a timeless keepsake! These custom ceramic ornaments are the perfect way to celebrate life’s sweetest memories, from new babies and weddings to family photos and furry best friends.</p>
<p>Each ornament is fully customizable with your photo, name, date, or special message, creating a one-of-a-kind piece that’s as unique as your story.</p>
<p>Perfect for:<br>• Baby’s first Christmas<br>• Wedding or engagement gifts<br>• Family portraits<br>• Pet memorials or pet lovers<br>• Holiday keepsakes for grandparents<br>• “Our First Home” or milestone celebrations</p>
<p>Details:<br>• High-quality ceramic ornament with a glossy finish<br>• Includes ribbon for hanging (color may vary)<br>• Approx. 3 inch round<br>• Custom printed using permanent sublimation — no peeling or fading!</p>
<p>How to Order:<br>• Choose your style.<br>• Add your text details (name, date, etc.) in the personalization box.<br>• Once you’ve ordered, then message me your photo.</p>
<p>These ornaments make heartfelt gifts that last for years to come — a beautiful way to decorate your tree or commemorate a special moment.</p>","Midnight Muse Made","Home & Garden > Decor > Seasonal & Holiday Decorations > Holiday Ornaments","Holiday Ornaments","baby, babys_1st_christmas, Ceramic, christmas, christmas_hosting, christmas_ornaments, custom, dog, engagement, marriage, ornament, personalized, pet, photo_ornament","true","Design","Baby 1","","","","","","","","","0.0","shopify","10","deny","manual","20.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/f97bfe2e-il_fullxfull.7363067416_ll3m_85baa8cc-01cb-4ac1-bbfb-c7af365b65ad.jpg?v=1768963505","1","Custom ceramic photo ornament with baby first Christmas design, 3 inch round glossy finish","false","Custom Ceramic Photo Ornament | Personalized Keepsake Gift","Personalized 3 inch ceramic photo ornament for babys first Christmas, weddings & pet memorials. Sublimation printed, never fades. Order yours!","3144","","","","","","","","","","","Peronsalize with name, date, etc. (e.g.  Chloe Rose, 1st Christmas, 2025)","","","","lb","","","active"
"custom-ceramic-photo-ornament-keepsake","","","","","Holiday Ornaments","","","","Baby 2","","","","","","","","","0.0","shopify","10","deny","manual","20.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/e2eb3d23-il_fullxfull.7410980951_4iyk_0f3abfa8-d7ca-46d4-9281-9183c665d332.jpg?v=1768963504","2","Custom ceramic photo ornament with baby first Christmas design, 3 inch round glossy finish","","Custom Ceramic Photo Ornament | Personalized Keepsake Gift","Personalized 3 inch ceramic photo ornament for babys first Christmas, weddings & pet memorials. Sublimation printed, never fades. Order yours!","","","","","","","","","","","","","","","","lb","","",""
"custom-ceramic-photo-ornament-keepsake","","","","","Holiday Ornaments","","","","Pet 1","","","","","","","","","0.0","shopify","10","deny","manual","20.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/bd1cda80-il_fullxfull.7410980955_gv2f_5e05cb92-32ba-4283-90a3-a8ccbf79e8cd.jpg?v=1768963504","3","Custom ceramic photo ornament with baby first Christmas design, 3 inch round glossy finish","","Custom Ceramic Photo Ornament | Personalized Keepsake Gift","Personalized 3 inch ceramic photo ornament for babys first Christmas, weddings & pet memorials. Sublimation printed, never fades. Order yours!","","","","","","","","","","","","","","","","lb","","",""
"custom-ceramic-photo-ornament-keepsake","","","","","Holiday Ornaments","","","","Pet 2","","","","","","","","","0.0","shopify","10","deny","manual","20.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/a1a60027-il_fullxfull.7363063392_od97_1668a3ad-70f3-4059-a3ec-b8402cff809c.jpg?v=1768963504","4","Custom ceramic photo ornament with baby first Christmas design, 3 inch round glossy finish","","Custom Ceramic Photo Ornament | Personalized Keepsake Gift","Personalized 3 inch ceramic photo ornament for babys first Christmas, weddings & pet memorials. Sublimation printed, never fades. Order yours!","","","","","","","","","","","","","","","","lb","","",""
